institution_code,institution_name,city,state,latitude,longitude,zip_code
1603,UPMC Altoona Hospital,Altoona,PA,40.48728,-78.41454,16602
1606,Bryn Mawr Hospital,Bryn Mawr,PA,40.02232,-75.3206,19010
1608,Geisinger Health System,Danville,PA,40.961705,-76.619431,17821
1610,Easton Hospital,Easton,PA,41.12732,-79.54108,16255
1611.0999755859375,UPMC Hamot Med Ctr,Pittsburgh,PA,40.439375,-79.996754,15219
1611.199951171875,UPMC Hamot Med Ctr,Erie,PA,42.129029,-80.084963,16501
1612,St Vincent Hlth Ctr,Erie,PA,42.129029,-80.084963,16501
1615,Pinnacle Health Hosps,Harrisburg,PA,40.259614,-76.881871,17101
1616,Conemaugh Memorial Med Ctr,Johnstown,PA,40.245758,-78.92007,15905
1617,Penn State Hershey Med Ctr,Hershey,PA,40.284939,-76.65201,17033
1618,Lancaster Gen Hosp,Lancaster,PA,40.038006,-76.34384,17603
1619,Montgomery Hospital,Lebanon,PA,40.429006,-76.59286,17028
1620.0999755859375,UPMC McKeesport,McKeesport,PA,40.276097,-79.878878,15037
1620.199951171875,UPMC McKeesport,Pittsburgh,PA,40.439375,-79.996754,15219
1621,Montgomery Hospital,Norristown,PA,40.133437,-75.356537,19403
1622,Hidalgo Medical Services,Silver City,NM,32.77379,-108.275927,88061
